%Aircraft Model Family Config Dist Cost/h TurnRound Transit Orig Maint
B737#1 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#10 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#11 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#12 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#13 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#14 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#15 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#16 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#17 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#18 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#19 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#2 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#20 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#3 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#4 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#5 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#6 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#7 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#8 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
B737#9 B737 Boeing 0/0/123 5000 1800.0 30 30 CFE NULL
#
