%Origin Destination Dist Type
BKK CDG 739 I
BKK JFK 1077 I
BKK LHR 749 I
BKK NCE 742 I
BKK SYD 594 I
BKK ORY 741 I
CDG BKK 739 I
CDG JFK 468 I
CDG LHR 55 C
CDG NCE 77 D
CDG SYD 1302 I
CDG ORY 34 P
JFK BKK 1077 I
JFK CDG 468 I
JFK LHR 446 I
JFK NCE 495 I
JFK SYD 1232 I
JFK ORY 468 I
LHR BKK 749 I
LHR CDG 55 C
LHR JFK 446 I
LHR NCE 100 C
LHR SYD 1308 I
LHR ORY 57 C
NCE BKK 742 I
NCE CDG 77 D
NCE JFK 495 I
NCE LHR 100 C
NCE SYD 1305 I
NCE ORY 74 D
SYD BKK 594 I
SYD CDG 1302 I
SYD JFK 1232 I
SYD LHR 1308 I
SYD NCE 1305 I
SYD ORY 1304 I
ORY BKK 741 I
ORY CDG 34 P
ORY JFK 468 I
ORY LHR 57 C
ORY NCE 74 D
ORY SYD 1304 I
#
