%Flight Orig Dest DepTime ArrTime PrevFlight
1 FRA BRU 07:30 09:33 0
2 TXL CPH 09:51 14:13 0
3 LHR BRU 14:52 18:06 0
7 IST BRU 07:00 09:48 0
8 TXL LHR 09:55 13:29 0
9 CDG BRU 13:49 17:40 0
10 DUB FRA 08:15 10:38 0
11 MUC BCN 10:42 15:27 0
12 BCN ORY 15:44 20:15 0
13 CPH VIE 08:15 12:02 0
14 LHR BCN 12:42 16:17 0
15 FRA CPH 16:17 19:18 0
16 CPH LHR 08:30 11:02 0
17 LHR AMS 11:46 14:41 0
18 TXL CPH 15:09 20:05 0
19 LHR MAD 08:30 11:36 0
20 CPH LHR 12:13 14:51 0
21 FRA DUB 15:30 19:33 0
22 AMS MUC 07:15 11:47 0
23 CPH TXL 12:20 16:58 0
24 BCN LHR 17:47 20:06 0
25 VIE AMS 07:30 10:43 0
26 CDG FRA 11:10 14:09 0
27 LHR CPH 14:18 16:37 0
28 LHR BCN 16:52 20:36 0
29 AMS BRU 07:15 11:10 0
30 IST AMS 11:37 14:04 0
31 TXL ORY 14:47 18:24 0
32 DUB MUC 07:30 09:37 0
33 BRU FRA 10:33 15:05 0
34 FRA BRU 15:19 18:17 0
35 DUB BCN 18:54 21:47 0
36 BRU VIE 07:15 11:49 0
37 ORY BCN 11:51 16:11 0
38 ORY LHR 16:51 20:18 0
39 MAD DUB 08:15 13:10 0
40 LHR BCN 13:40 17:00 0
41 AMS MUC 17:17 19:34 0
42 VIE CDG 07:45 12:08 0
43 CPH MAD 12:18 14:24 0
44 BCN MUC 14:59 19:45 0
45 BRU MUC 08:45 13:12 0
46 CDG BRU 13:31 15:52 0
47 BCN VIE 16:29 20:24 0
48 DUB CPH 07:00 10:18 0
49 ORY ZRH 10:46 12:54 0
50 DUB BRU 13:25 15:49 0
51 DUB TXL 16:06 20:45 0
52 BRU CPH 07:30 11:55 0
53 BRU MAD 12:07 14:45 0
54 BRU DUB 15:00 19:57 0
55 BCN ZRH 07:15 10:58 0
56 TXL CPH 11:24 13:38 0
57 ZRH BCN 14:03 16:19 0
58 BRU ORY 16:48 21:15 0
59 BRU BCN 07:00 10:44 0
60 TXL ZRH 11:32 15:19 0
61 CPH TXL 16:16 18:39 0
62 MUC BRU 07:45 11:46 0
63 BCN TXL 12:44 17:41 0
64 FRA IST 18:27 21:44 0
#
