%Flight DepDate Aircraft
1 13/09/24 B737#1
2 13/09/24 B737#1
3 13/09/24 B737#1
4 13/09/24 B737#2
5 13/09/24 B737#2
6 13/09/24 B737#2
7 13/09/24 B737#2
8 13/09/24 B737#3
9 13/09/24 B737#3
10 13/09/24 B737#3
11 13/09/24 B737#3
12 13/09/24 B737#3
13 13/09/24 B737#4
14 13/09/24 B737#4
15 13/09/24 B737#4
16 13/09/24 B737#5
17 13/09/24 B737#7
18 13/09/24 B737#5
19 13/09/24 B737#5
20 13/09/24 B737#6
21 13/09/24 B737#6
22 13/09/24 B737#6
26 13/09/24 B737#8
27 13/09/24 B737#8
28 13/09/24 B737#8
29 13/09/24 B737#8
30 13/09/24 B737#9
31 13/09/24 B737#9
32 13/09/24 B737#9
33 13/09/24 B737#9
34 13/09/24 B737#10
35 13/09/24 B737#10
36 13/09/24 B737#10
37 13/09/24 B737#10
38 13/09/24 B737#11
39 13/09/24 B737#11
40 13/09/24 B737#11
41 13/09/24 B737#11
42 13/09/24 B737#12
43 13/09/24 B737#12
44 13/09/24 B737#12
45 13/09/24 B737#13
46 13/09/24 B737#13
47 13/09/24 B737#13
48 13/09/24 B737#13
49 13/09/24 B737#14
50 13/09/24 B737#14
51 13/09/24 B737#14
52 13/09/24 B737#15
53 13/09/24 B737#15
54 13/09/24 B737#15
55 13/09/24 B737#15
56 13/09/24 B737#16
57 13/09/24 B737#16
58 13/09/24 B737#16
59 13/09/24 B737#17
60 13/09/24 B737#17
61 13/09/24 B737#17
62 13/09/24 B737#17
63 13/09/24 B737#18
64 13/09/24 B737#18
65 13/09/24 B737#18
66 13/09/24 B737#19
67 13/09/24 B737#19
68 13/09/24 B737#19
69 13/09/24 B737#20
70 13/09/24 B737#20
71 13/09/24 B737#20
72 13/09/24 B737#20
#
