Scenario,Model,Seed,TotalReward,TotalDelays,TotalCancelledFlights,ScenarioTime,ScenarioSteps,ScenarioResolvedConflicts,SolutionSlack,TailSwaps,ActualDisruptedFlights,Reward_delay_penalty_total,Reward_cancel_penalty,Reward_inaction_penalty,Reward_proactive_bonus,Reward_time_penalty,Reward_final_conflict_resolution_reward
deterministic_Scenario_00001,myopic,1,130.5,0.0,3,0.8838949203491211,4,1,0.4326683291770574,1,1,0.0,-3000,0,13110.0,-60.0,3000
deterministic_Scenario_00001,myopic,2,130.5,0.0,3,0.045794010162353516,4,1,0.4326683291770574,1,1,0.0,-3000,0,13110.0,-60.0,3000
deterministic_Scenario_00001,myopic,3,130.5,0.0,3,0.05249524116516113,4,1,0.4326683291770574,1,1,0.0,-3000,0,13110.0,-60.0,3000
deterministic_Scenario_00001,myopic,4,130.5,0.0,3,0.04228687286376953,4,1,0.4326683291770574,1,1,0.0,-3000,0,13110.0,-60.0,3000
deterministic_Scenario_00001,myopic,5,130.5,0.0,3,0.042942047119140625,4,1,0.4326683291770574,1,1,0.0,-3000,0,13110.0,-60.0,3000
deterministic_Scenario_00001,proactive,1,106.89999999999999,83.0,3,0.04600214958190918,8,1,0.3656040928768201,0,1,-415.0,-3000,0,11320.0,-216.0,3000
deterministic_Scenario_00001,proactive,2,106.89999999999999,83.0,3,0.06564688682556152,8,1,0.3656040928768201,0,1,-415.0,-3000,0,11320.0,-216.0,3000
deterministic_Scenario_00001,proactive,3,106.89999999999999,83.0,3,0.08619379997253418,8,1,0.3656040928768201,0,1,-415.0,-3000,0,11320.0,-216.0,3000
deterministic_Scenario_00001,proactive,4,106.89999999999999,83.0,3,0.06904387474060059,8,1,0.3656040928768201,0,1,-415.0,-3000,0,11320.0,-216.0,3000
deterministic_Scenario_00001,proactive,5,106.89999999999999,83.0,3,0.05592823028564453,8,1,0.3656040928768201,0,1,-415.0,-3000,0,11320.0,-216.0,3000
deterministic_Scenario_00001,reactive,1,39.300000000000004,0.0,2,0.045381784439086914,9,1,0.45690672963400236,0,1,0.0,-1000,-600,4800.0,-270.0,3000
deterministic_Scenario_00001,reactive,2,39.300000000000004,0.0,2,0.05548238754272461,9,1,0.45690672963400236,0,1,0.0,-1000,-600,4800.0,-270.0,3000
