Scenario,Model,Seed,TotalReward,TotalDelays,TotalCancelledFlights,ScenarioTime,ScenarioSteps,ScenarioResolvedConflicts,SolutionSlack,TailSwaps,ActualDisruptedFlights,Reward_delay_penalty_total,Reward_cancel_penalty,Reward_inaction_penalty,Reward_proactive_bonus,Reward_time_penalty,Reward_final_conflict_resolution_reward
mixed_Scenario_00115,reactive,1,-460.0,0,0,0.04773664474487305,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,reactive,2,-460.0,0,0,0.05746150016784668,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,reactive,3,-460.0,0,0,0.04404473304748535,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,reactive,4,-460.0,0,0,0.031104564666748047,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,reactive,2,-460.0,0,0,0.04333686828613281,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,reactive,3,-460.0,0,0,0.06772947311401367,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,reactive,5,-460.0,0,0,0.042389631271362305,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,greedy_reactive,1,-460.0,0,0,0.02350449562072754,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,greedy_reactive,2,-460.0,0,0,0.02642822265625,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,greedy_reactive,3,-460.0,0,0,0.023449182510375977,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,greedy_reactive,4,-460.0,0,0,0.03348970413208008,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00115,greedy_reactive,5,-460.0,0,0,0.01996922492980957,4,0,0,0,0,0,0,-400,0.0,-60.0,0
mixed_Scenario_00123,reactive,1,-1016.0,0,0,0.06235837936401367,8,0,0,0,0,0,0,-800,0.0,-216.0,0
mixed_Scenario_00123,reactive,2,-1016.0,0,0,0.05369305610656738,8,0,0,0,0,0,0,-800,0.0,-216.0,0
mixed_Scenario_00123,reactive,3,-1016.0,0,0,0.059234619140625,8,0,0,0,0,0,0,-800,0.0,-216.0,0
mixed_Scenario_00123,reactive,4,-1016.0,0,0,0.06844162940979004,8,0,0,0,0,0,0,-800,0.0,-216.0,0
mixed_Scenario_00126,reactive,1,-428.0,0,1,0.05796980857849121,7,0,0,0,0,0,-1000,-600,1340.0,-168.0,0
mixed_Scenario_00126,reactive,4,-428.0,0,1,0.08664846420288086,7,0,0,0,0,0,-1000,-600,1340.0,-168.0,0
mixed_Scenario_00126,reactive,1,-868.0,0,0,0.07790470123291016,7,0,0,0,0,0,0,-700,0.0,-168.0,0
mixed_Scenario_00126,reactive,3,-868.0,0,0,0.08263731002807617,7,0,0,0,0,0,0,-700,0.0,-168.0,0
mixed_Scenario_00139,reactive,5,-416.0,0,1,0.07158899307250977,6,0,0,0,0,0,-1000,-500,1210.0,-126.0,0
mixed_Scenario_00139,reactive,2,-726.0,0,0,0.06419944763183594,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,1,-726.0,0,0,0.037435054779052734,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,2,-726.0,0,0,0.05147814750671387,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,3,-726.0,0,0,0.04838681221008301,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,5,-726.0,0,0,0.04015612602233887,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,1,-726.0,0,0,0.038182973861694336,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,2,-726.0,0,0,0.05513262748718262,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,3,-726.0,0,0,0.051061153411865234,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,4,-726.0,0,0,0.04992318153381348,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,reactive,5,-726.0,0,0,0.05492043495178223,6,0,0,0,0,0,0,-600,0.0,-126.0,0
stochastic_Scenario_00047,greedy_reactive,1,-726.0,0,0,0.018877029418945312,6,0,0,0,0,0,0,-600,0.0,-126.0,0
