Scenario,Model,Seed,TotalReward,TotalDelays,TotalCancelledFlights,ScenarioTime,ScenarioSteps,ScenarioResolvedConflicts,SolutionSlack,TailSwaps,ActualDisruptedFlights,Reward_delay_penalty_total,Reward_cancel_penalty,Reward_inaction_penalty,Reward_proactive_bonus,Reward_time_penalty,Reward_final_conflict_resolution_reward
deterministic_Scenario_00001,myopic,1,-5168.0,0.0,1,5.301049470901489,7,0,0.648005148005148,0,1,0.0,-5000,0.0,0.0,-168.0,0
deterministic_Scenario_00001,myopic,2,-5168.0,0.0,1,0.05008339881896973,7,0,0.648005148005148,0,1,0.0,-5000,0.0,0.0,-168.0,0
deterministic_Scenario_00001,myopic,3,-5168.0,0.0,1,0.047214508056640625,7,0,0.648005148005148,0,1,0.0,-5000,0.0,0.0,-168.0,0
deterministic_Scenario_00001,myopic,4,-5168.0,0.0,1,0.038686513900756836,7,0,0.648005148005148,0,1,0.0,-5000,0.0,0.0,-168.0,0
deterministic_Scenario_00001,myopic,5,-5168.0,0.0,1,0.0441434383392334,7,0,0.648005148005148,0,1,0.0,-5000,0.0,0.0,-168.0,0
deterministic_Scenario_00001,proactive,1,-25063.8,0.0,5,0.047820091247558594,7,0,0.5468800517297123,0,1,0.0,-25000,0.0,104.10000000000001,-168.0,0
deterministic_Scenario_00001,proactive,2,-25063.8,0.0,5,0.03705549240112305,7,0,0.5468800517297123,0,1,0.0,-25000,0.0,104.10000000000001,-168.0,0
deterministic_Scenario_00001,proactive,3,-25063.8,0.0,5,0.04732632637023926,7,0,0.5468800517297123,0,1,0.0,-25000,0.0,104.10000000000001,-168.0,0
deterministic_Scenario_00001,proactive,4,-25063.8,0.0,5,0.03874683380126953,7,0,0.5468800517297123,0,1,0.0,-25000,0.0,104.10000000000001,-168.0,0
deterministic_Scenario_00001,proactive,5,-25063.8,0.0,5,0.04716229438781738,7,0,0.5468800517297123,0,1,0.0,-25000,0.0,104.10000000000001,-168.0,0
deterministic_Scenario_00001,reactive,1,-5169.0,0.0,1,0.044788360595703125,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
deterministic_Scenario_00001,reactive,2,-5169.0,0.0,1,0.06708478927612305,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
deterministic_Scenario_00001,reactive,3,-5169.0,0.0,1,0.03154945373535156,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
deterministic_Scenario_00001,reactive,4,-5169.0,0.0,1,0.05100750923156738,7,0,0.648005148005148,0,1,0.0,-5000,-1.0,0.0,-168.0,0
